CO2,LONG,LAV,CN,CS,MTL
2015,887978,774725,2.38015e+06,1.78069e+06,3.7699e+06
2016,740204,707280,1.64048e+06,1.25468e+06,2.87508e+06
2017,657912,641570,1.43446e+06,1.06854e+06,2.734e+06
2018,638077,577698,1.41411e+06,1.0585e+06,2.64876e+06
2019,625208,534219,1.39864e+06,1.0487e+06,2.58976e+06
2020,618010,524351,1.38327e+06,1.03921e+06,2.53148e+06
2021,610851,515312,1.36798e+06,1.03373e+06,2.47392e+06
2022,603728,506460,1.35537e+06,1.02818e+06,2.41708e+06
2023,596862,504013,1.34786e+06,1.02257e+06,2.36716e+06
2024,591677,501850,1.34032e+06,1.01689e+06,2.34052e+06
2025,586482,499650,1.33268e+06,1.01062e+06,2.32168e+06
2026,581277,497413,1.32497e+06,1.00417e+06,2.30372e+06
2027,576063,495139,1.31717e+06,997655,2.2885e+06
2028,572155,492824,1.30928e+06,991662,2.27309e+06
2029,568990,490471,1.3013e+06,985777,2.25766e+06
2030,500643,436413,1.29323e+06,979808,2.12346e+06
2031,500643,436413,1.34215e+06,973766,2.12346e+06
2032,500643,436413,1.27858e+06,967637,2.12346e+06
2033,500643,436413,1.27145e+06,961434,2.12346e+06
2034,500643,436413,1.2642e+06,955142,2.12346e+06
2035,500643,436413,1.25683e+06,970872,2.12346e+06
